HEADER "0-ALL!P" not followed by a proline
HEADER "1-ALLP"      followed by a proline
HEADER "2-GLY!P"
HEADER "3-GLYP"
HEADER "3-GLYP"
HEADER "4-PRO!P"
HEADER "5-PROP"
HEADER "6-VI!P"
HEADER "7-VIP"
HEADER "8-DN!P"
HEADER "9-DNP"
HEADER "10-ST!P"
HEADER "11-STP"
HEADER "12-EQ!P"
HEADER "13-EQP"
HEADER "14-LA!P"
HEADER "15-LAP"
3 3 3   0.496   0.226   0.208  -0.131
3 3 4   0.042   0.236   0.053   0.120
3 3 5   0.351   0.030  -0.094   0.468
3 3 6   0.300   0.231   0.152  -0.186
3 3 7   0.101   0.348   0.386   0.034
3 3 8   0.260  -0.064  -0.106  -0.082
3 3 9   0.155   0.108  -0.019   0.218
3 3 10   0.279   0.052   0.009  -0.103
3 3 11   0.183  -0.028  -0.088   0.048
3 3 12   0.253   0.012  -0.020  -0.145
3 3 13   0.327   0.182   0.094   0.055
3 3 14   0.305   0.069   0.061  -0.158
3 3 15   0.298   0.096   0.100   0.095
3 4 0   0.521   0.044  -0.098  -0.049
3 4 1   0.464  -0.027   0.068   0.024
3 4 2   0.386   0.079   0.037   0.011
3 4 3   0.310   0.219   0.137  -0.035
3 4 4   0.333   0.330   0.391  -0.334
3 4 5   0.151   0.025   0.450  -0.266
3 4 6   0.536   0.139  -0.033   0.026
3 4 7   0.578  -0.346  -0.077   0.279
3 4 8   0.539   0.085  -0.138  -0.224
3 4 9   0.429   0.116   0.121  -0.204
3 4 10   0.398   0.106  -0.008  -0.115
3 4 11   0.342   0.132   0.148   0.052
3 4 12   0.565   0.011  -0.055  -0.166
3 4 13   0.621   0.054   0.238  -0.095
3 4 14   0.520   0.020  -0.069  -0.104
3 4 15   0.495   0.039   0.105  -0.008
4 0 0  -0.295   0.000   0.179   0.000
4 0 1  -0.491   0.000  -0.006   0.000
4 0 2   0.096   0.000   0.020   0.000
4 0 3  -0.222   0.000  -0.166   0.000
4 0 4  -0.103   0.000   0.905   0.000
4 0 5  -0.774   0.000   0.665   0.000
4 0 6  -0.662   0.000   0.230   0.000
4 0 7  -0.762   0.000   0.191   0.000
4 0 8  -0.263   0.000   0.304   0.000
4 0 9  -0.428   0.000   0.207   0.000
4 0 10  -0.538   0.000   0.225   0.000
4 0 11  -0.754   0.000   0.184   0.000
4 0 12  -0.435   0.000   0.159   0.000
4 0 13  -0.585   0.000   0.152   0.000
4 0 14  -0.370   0.000   0.280   0.000
4 0 15  -0.484   0.000   0.073   0.000
4 1 0  -0.156   0.116   0.104   0.013
4 1 1  -0.278  -0.336  -0.026  -0.062
4 1 2   0.026   0.162   0.107  -0.036
4 1 3  -0.424   0.451   0.160   0.211
4 1 4  -0.030   0.554   0.157   0.172
4 1 5   0.020  -0.123  -0.323   0.106
4 1 6  -0.073   0.064   0.038   0.075
4 1 7   0.065  -0.507  -0.173  -0.275
4 1 8  -0.288   0.175  -0.148   0.069
4 1 9  -0.242  -0.230  -0.268  -0.238
4 1 10  -0.300   0.130  -0.017  -0.042
4 1 11  -0.085  -0.357  -0.220  -0.007
4 1 12  -0.319   0.178  -0.036  -0.032
4 1 13  -0.314  -0.493  -0.205  -0.100
4 1 14  -0.272   0.256   0.053  -0.097
4 1 15  -0.200  -0.279  -0.175  -0.218
4 2 0   0.041   0.388   0.126  -0.666
4 2 1   0.424   0.044   0.286  -0.580
4 2 2   0.115   0.083   0.055  -0.714
4 2 3   0.271   0.170   0.291  -0.492
4 2 4  -0.009   1.009   0.387  -0.351
4 2 5   0.144   0.849   0.148  -0.706
4 2 6  -0.281   0.596   0.156  -0.443
4 2 7   0.318   0.310   0.439  -0.613
4 2 8   0.039   0.160   0.134  -0.653
4 2 9   0.291  -0.248   0.631  -0.577
4 2 10  -0.067   0.307   0.275  -0.502
4 2 11   0.440  -0.321   0.310  -0.455
4 2 12  -0.068   0.287   0.175  -0.686
4 2 13   0.371  -0.107   0.321  -0.294
4 2 14  -0.059   0.401   0.157  -0.670
4 2 15   0.331  -0.008   0.341  -0.525
4 3 0   0.361   0.136  -0.371  -0.341
4 3 1   0.510   0.045  -0.162  -0.017
4 3 2   0.275  -0.044  -0.315  -0.381
4 3 3   0.608  -0.217  -0.276  -0.153
4 3 4   0.002   0.260  -0.145  -0.266
4 3 5  -0.240   0.300  -0.409   0.243
4 3 6   0.350   0.294  -0.320  -0.338
4 3 7   0.548  -0.064  -0.191   0.069
4 3 8   0.295   0.133  -0.336  -0.565
4 3 9   0.453   0.066  -0.142  -0.135
4 3 10   0.241   0.181  -0.350  -0.281
4 3 11   0.599   0.172  -0.221  -0.108
